time,2016/9/4,2016/9/11,2016/9/18,2016/9/25,2016/10/2,2016/10/16,2016/10/23,2016/10/30,2016/11/6,2016/11/13,2016/11/20,2016/11/27,2016/12/4,2016/12/11,2016/12/18,2016/12/25,2017/1/1,2017/1/8,2017/1/15,2017/1/22,2017/1/29,2017/2/5,2017/2/12,2017/2/19,2017/2/26,2017/3/5,2017/3/12,2017/3/19,2017/3/26
603660.SH,,,,,,,,,,,,,,,,100,50,,33.33,175,,,,7.14,6.67,
603658.SH,,,,200,,,16.67,28.57,37.5,20,8.33,7.69,,,,,,,,,,,28.57,16.67,4.76,9.09
603656.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603639.SH,,,,,,,,,,,,,,,,,,,,,,,100,,20,33.33
603638.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603637.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603636.SH,,,,,,,,,,3.57,3.45,3.33,3.23,,3.13,,,,,,,,,,,
603633.SH,,,,,,,,,,,,,,,200,66.67,40,,,,,,12.5,22.22,,9.09
603630.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603628.SH,,,,,,,,,,,,,,,,,,,,,,,400,20,,33.33
603626.SH,,,,,,,,,,,,,,,,,,,,,,,,,,25
603618.SH,0.87,,,0.86,,,1.71,,,,,,,,,,,,,,,,0.84,,,
603617.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603616.SH,,,,5.88,4.44,,1.06,1.05,1.04,,2.06,2.04,,,1,,0.99,,3.92,0.93,,,,,,
603615.SH,,,,,,,,,,,,,,,,,,,,,,,,100,50,33.33
603612.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603611.SH,3.45,,,,,,4.84,,1.54,9.09,5.56,1.32,1.3,1.28,,,,,,3.13,,,2.5,,,
603609.SH,,,,,0.9,,,,0.89,,,1.77,,,0.87,,1.74,,,,,,1.71,,,
603608.SH,,,,,,,,,,,,7.41,,3.45,,,,,,5.56,,,,3.23,,
603606.SH,1.03,,,,,,,,2.04,,,1.01,,,1,,,,,,,,,,,
603603.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603602.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603601.SH,,,,,,,1.52,,1.49,2.94,,1.43,,,,,1.41,,,,,,4.17,2.7,1.32,
603600.SH,2.86,,,,,,,,,,,1.39,,,,,,,,,,,,,1.41,
603599.SH,4.65,,,6.12,3.85,3.7,,,8.93,3.28,1.59,,,1.56,3.08,1.49,,,7.35,,,,,,,
603598.SH,1.28,,,,,,,,,,1.27,2.53,11.11,1.11,,,,,,,,,,,,
603595.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603589.SH,2.74,,,,,,,1.33,,,,1.32,,,1.32,,,,1.32,,,,,,,
603588.SH,,,,2.86,1.39,,,,,,,,1.39,,,,,,,,,,,,,
603586.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603585.SH,,,,,,,,,,,,,,,,,100,,100,25,,,16.67,,28.57,11.11
603580.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603579.SH,,,,,,,,,,,,,,,,,,,,,,,100,,50,100
603578.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603577.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603569.SH,100,,,,,25,20,8.33,25,6.67,,,6.25,,,,,,,,,,,,,
603568.SH,,,,,,,,,,,,,1.16,,,,,,,1.15,,,,1.14,1.12,2.22
603567.SH,0.81,,,,,,,0.81,,1.6,0.79,,0.78,,,,,,,,,,,,,3.08
603566.SH,,,,,,3.51,,,,,,,,,,,,,,,,,,,1.72,
603559.SH,,,,,,,,,,,,,,,,,,,100,,,,25,60,,12.5
603558.SH,,,,,,,,9.09,12.5,3.7,,,,,,,,,,,,,,,,
603557.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603556.SH,,,,,,,,,,,,100,,,,,,,,,,,,33.33,,
603555.SH,,,,,,,,,,,,0.54,,,,,,,,,,,,,,
603538.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603536.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603535.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603528.SH,,,,,,2,1.96,,,3.85,,,,,,3.77,5.45,,,2.7,,,3.39,1.67,,
603520.SH,,,,,,,,,3.85,,,,,3.7,,,,,,,,,,,,
603519.SH,,,,8,3.7,,,,,,,,,,,,,,,,,,,,,
603518.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603517.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603515.SH,200,,,40,14.29,,12.5,22.22,10,36.36,13.33,17.65,,,10,,,,,4.55,,,,,,
603508.SH,0.88,,,,0.86,0.85,2.54,,,5.79,1.56,3.88,0.75,0.74,1.47,,,,,,,,,,,
603505.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603501.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603496.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603488.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603458.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603456.SH,0.94,,,0.93,,,0.92,0.91,,,,,,,,,,,,,,,,,,0.89
603444.SH,,,,,,,,,,,,,,,,,,,,50,11.11,,30,45.45,18.75,26.32
603429.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603421.SH,,,,,,100,,100,133.33,28.57,44.44,15.38,,,,,,,,12.5,,,,,6.25,17.65
603416.SH,,,,,,,,,,,,,,,,,,,,,100,,,,,
603399.SH,0.8,,,,0.79,0.79,1.56,,,,,,,,,,,,,,,,,,,
603398.SH,,,,,,2,,,,,,1.96,1.92,3.77,,,,,,,,,,,1.82,
603393.SH,,,,,300,,,100,133.33,21.43,11.76,22.22,13.64,,,,,,5,9.52,,,,8.7,,4
603389.SH,,,,,,,,,,,,,,,,,250,,,,,,11.11,,10,9.09
603388.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603387.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603385.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603383.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603380.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603377.SH,,,,3.23,3.13,,,,9.09,11.11,,2.5,2.5,,,,,,,,,,4.88,,,
603369.SH,,,,,,,,3.26,2.11,1.03,,1.02,,1.01,,3,6.8,,0.9,4.46,,,0.85,0.84,,
603368.SH,,,,,,,,,,2.44,9.76,6.98,2.17,8.51,,1.96,,,,,,,,,,
603366.SH,,,,,,,,,1.5,,0.75,0.74,,,,2.21,0.72,,,1.43,,,,,1.41,
603360.SH,,,,,,,,,,,,,,,,,,,,,,,,,,33.33
603359.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
603358.SH,,,,,,,,,,,,,,,,,,,,,,,500,,16.67,
603357.SH,,,,,,,,,,,,,,,,,,,,,,,,,,
